WARNING: 2 open meshes merged
     Merged: MainWing
     Merged: HorzTail
...Mass Properties...
26 Num Comps
26 Total Num Meshes
59520 Total Num Tris

4.179200461819400e+02             Total Mass
1.003442428325704e+01 2.506759137266815e-03 -6.437741754150651e-01       Center of Gravity
6.871372097202200e+03 1.478374399753322e+04 1.856556455045331e+04       Ixx, Iyy, Izz
-7.846540916311837e-01 6.485539683206687e+01 4.697867326055959e+00       Ixy, Ixz, Iyz
4.182721826893976e+02             Volume

Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
5.463357395832968e+00	8.012197484830963e+01	3.283084962605540e+00	1.477234839273139e-03	1.042730433142867e-01	2.713509918253670e+02	3.487490524228986e+02	2.922935106904859e+02	-1.149672013623833e-01	-1.870278574735299e+01	5.753048187659215e-01	8.047411135576723e+01
5.764055317580918e+00	8.691831584647015e+01	3.477077682949105e+00	1.361726484051738e-03	5.704478615511648e-02	2.995983510108084e+02	4.046728850650535e+02	3.419969279450729e+02	-1.479831211379239e-01	-2.809266745620207e+01	6.000911728633779e-01	8.727045235392775e+01
6.064753239328867e+00	9.392682309498345e+01	3.670161429381659e+00	1.260122045707040e-03	1.306109852672318e-02	3.295445103564402e+02	4.668529676385641e+02	3.968824508099073e+02	-1.799223292324695e-01	-3.798690878039406e+01	6.231377689267366e-01	9.427895960244105e+01
6.365451161076817e+00	1.012095672437842e+02	3.864106587506303e+00	1.169447352542568e-03	-3.033122479923834e-02	3.620845125059213e+02	5.367893592575929e+02	4.579587495875181e+02	-2.154942596216280e-01	-4.897401265184764e+01	6.480098068372352e-01	1.015617037512418e+02
6.666149082824766e+00	1.122140201903020e+02	4.138893505768243e+00	1.011595914886445e-03	-1.495525930609841e-01	5.689287696918677e+02	6.667104138326210e+02	6.911521138762045e+02	-2.763403799627179e-01	-8.278677111321046e+01	6.981917130314760e-01	1.125661566977596e+02
6.966847004572716e+00	1.232914231497762e+02	4.392977526023727e+00	8.336278810926783e-04	-2.794647687894231e-01	8.761811736388923e+02	8.117835193888737e+02	1.015008778979228e+03	-3.468112985502136e-01	-1.240148085460995e+02	7.509250897072469e-01	1.236435596572338e+02
7.267544926320666e+00	1.354316604855593e+02	4.650656789145765e+00	7.594353173241426e-04	-4.125637343596932e-01	1.352116538447545e+03	9.753930465973103e+02	1.510439956733433e+03	-3.896958147667836e-01	-1.711888557973203e+02	7.910826620155088e-01	1.357837969930169e+02
7.568242848068615e+00	1.485202954805165e+02	4.907774638716945e+00	8.104539456162663e-04	-5.176574359087708e-01	1.910750844664556e+03	1.159933198261103e+03	2.088218985727648e+03	-3.892408199787267e-01	-2.127178048275510e+02	9.126388322684726e-01	1.488724319879741e+02
7.868940769816565e+00	1.623879239760289e+02	5.160652751905031e+00	9.482850411516045e-04	-5.913245862491279e-01	2.519471249313733e+03	1.366364456011298e+03	2.713458775132191e+03	-3.519286822295644e-01	-2.451194128636731e+02	1.110609709616890e+00	1.627400604834865e+02
8.169638691564513e+00	1.762447766843497e+02	5.397227564229572e+00	1.061240171604820e-03	-6.508064297683596e-01	3.126002396193797e+03	1.576525808645883e+03	3.341542401504959e+03	-3.197173726774246e-01	-2.741870434014944e+02	1.308747855235296e+00	1.765969131918073e+02
8.470336613312464e+00	1.905865340790316e+02	5.628480966482440e+00	1.858241011002612e-03	-6.860458762044225e-01	3.729864177622139e+03	1.803118894540248e+03	3.969854084523530e+03	8.869323930022543e-02	-2.932770170495093e+02	2.036410254516642e+00	1.909386705864892e+02
8.771034535060412e+00	2.053152784821402e+02	5.853918978825510e+00	2.805784949468695e-03	-7.049048536544630e-01	4.308859184723489e+03	2.040133116882671e+03	4.582432222878680e+03	6.369381174211559e-01	-3.045752872015378e+02	2.942606051256042e+00	2.056674149895978e+02
9.071732456808363e+00	2.196570587914438e+02	6.064015454811620e+00	3.595566815810560e-03	-7.161112540614032e-01	4.841682620392698e+03	2.277498031905594e+03	5.156038375958021e+03	1.139025402402625e+00	-3.119821931963132e+02	3.819758086657675e+00	2.200091952989014e+02
9.372430378556313e+00	2.321185579161608e+02	6.241630765050363e+00	3.545257313913816e-03	-7.401241523535105e-01	5.290213251697023e+03	2.485702793770964e+03	5.654985749632539e+03	1.084533195748339e+00	-3.294356632505446e+02	4.025834425504210e+00	2.324706944236184e+02
9.673128300304262e+00	2.441430277322301e+02	6.410638001996070e+00	3.508118016363305e-03	-7.540338465886579e-01	5.680054650955613e+03	2.696464145053864e+03	6.103752164031490e+03	1.038766796567309e+00	-3.405174801990250e+02	4.224518637357921e+00	2.444951642396877e+02
9.973826222052212e+00	2.551402776611472e+02	6.564221245531508e+00	3.427026327960007e-03	-7.694638582623559e-01	5.979398463482878e+03	2.890178037834165e+03	6.477008994429378e+03	9.542707752906975e-01	-3.539425910847094e+02	4.348318455203835e+00	2.554924141686048e+02
1.027452414380016e+01	2.648233525440714e+02	6.699885794964656e+00	3.300243284151658e-03	-7.896264727981948e-01	6.171584597142146e+03	3.057054258518447e+03	6.759536784736517e+03	8.208033296615806e-01	-3.730317181998967e+02	4.387174986824611e+00	2.651754890515290e+02
1.057522206554811e+01	2.738578003870826e+02	6.827731426388063e+00	3.191282894015441e-03	-8.021269002832048e-01	6.289538684378679e+03	3.220887305872899e+03	6.976408907069394e+03	6.943292714546995e-01	-3.858629967264454e+02	4.421682765027313e+00	2.742099368945402e+02
1.087591998729606e+01	2.819742419600341e+02	6.944255849691783e+00	3.116614065966848e-03	-8.091549432300155e-01	6.359459719471895e+03	3.377578085124028e+03	7.148309427453733e+03	5.961041100595418e-01	-3.936570369979706e+02	4.451322424950559e+00	2.823263784674917e+02
1.117661790904401e+01	2.894994159208652e+02	7.054270789309301e+00	3.052344892949728e-03	-8.102244490077177e-01	6.400807575802122e+03	3.531505380573761e+03	7.298600913615287e+03	5.036805448977489e-01	-3.949359098727012e+02	4.475107589374875e+00	2.898515524283228e+02
1.147731583079196e+01	2.963675621689968e+02	7.156772291108778e+00	2.997963853265322e-03	-8.077286511325974e-01	6.430394190281256e+03	3.681208078150385e+03	7.441243567769066e+03	4.212452348484509e-01	-3.917422623388945e+02	4.496041682141277e+00	2.967196986764544e+02
1.177801375253991e+01	3.028107455970836e+02	7.255102706506563e+00	2.950180687500162e-03	-8.041745792716070e-01	6.456671808864048e+03	3.832259541557090e+03	7.586056401449857e+03	3.435518719789664e-01	-3.868766676517082e+02	4.512449603533588e+00	3.031628821045412e+02
1.207871167428786e+01	3.088560867361055e+02	7.349516781487687e+00	2.906501711679641e-03	-7.997457179363916e-01	6.479979463739813e+03	3.984700118308345e+03	7.732961303433239e+03	2.679914828355576e-01	-3.804095163720587e+02	4.525591232054659e+00	3.092082232435631e+02
1.237940959603581e+01	3.147337400742256e+02	7.443450041661319e+00	2.859553772523472e-03	-7.938703917871381e-01	6.500910643022821e+03	4.143801952312851e+03	7.886865171206857e+03	1.843358802040249e-01	-3.712838794811169e+02	4.534642218439391e+00	3.150858765816832e+02
1.268010751778376e+01	3.202316840853333e+02	7.533356353372169e+00	2.817155481084766e-03	-7.875034558815220e-01	6.519446907881575e+03	4.303693434121597e+03	8.042075765056333e+03	1.043696087767163e-01	-3.607918635240018e+02	4.542276042769075e+00	3.205838205927909e+02
1.298080543953171e+01	3.253622212191020e+02	7.619255508216062e+00	2.779671875017931e-03	-7.807766436334610e-01	6.535844840016291e+03	4.463955477099097e+03	8.198097784469499e+03	2.943231003367579e-02	-3.490588189418595e+02	4.549798410243002e+00	3.257143577265596e+02
1.328150336127966e+01	3.301383246756243e+02	7.701171116073080e+00	2.746033994413289e-03	-7.738037786368362e-01	6.550334413597048e+03	4.624136747177319e+03	8.354409250308587e+03	-3.959019930636468e-02	-3.362141284448126e+02	4.557767074569297e+00	3.304904611830819e+02
1.358220128302761e+01	3.345729757563078e+02	7.779122172121343e+00	2.715988701408630e-03	-7.666844771260942e-01	6.563119766003675e+03	4.783742046154580e+03	8.510448660899734e+03	-1.045657516062851e-01	-3.223928189400954e+02	4.563131321221930e+00	3.349251122637654e+02
1.388289920477556e+01	3.386793674093211e+02	7.853128744327003e+00	2.688864202995044e-03	-7.595060472415990e-01	6.574397561539537e+03	4.942245879438107e+03	8.665643682218039e+03	-1.663750252984903e-01	-3.077343354705795e+02	4.566150140218459e+00	3.390315039167787e+02
1.418359712652351e+01	3.424698508041324e+02	7.923194869061046e+00	2.665190713429425e-03	-7.523460473960492e-01	6.584343685330852e+03	5.099058501804824e+03	8.819363395427439e+03	-2.232951785315981e-01	-2.923843178329190e+02	4.568276680403966e+00	3.428219873115900e+02
1.448429504827146e+01	3.459585888514493e+02	7.989358741169153e+00	2.645244030543703e-03	-7.452716517332670e-01	6.593116851302301e+03	5.253635068635685e+03	8.971029093972575e+03	-2.738544573795489e-01	-2.764892355447587e+02	4.570184492644954e+00	3.463107253589069e+02
1.478499297001941e+01	3.491575049280788e+02	8.051619077202998e+00	2.625288696973730e-03	-7.383434128949710e-01	6.600858371424980e+03	5.405318830591737e+03	9.119956469993069e+03	-3.260611110983219e-01	-2.602018014070935e+02	4.571921982201104e+00	3.495096414355364e+02
1.508569089176735e+01	3.522575212803652e+02	8.113521907748810e+00	2.607261886663334e-03	-7.317474123927570e-01	6.608152253977448e+03	5.562384090816682e+03	9.274368459865487e+03	-3.752754531340148e-01	-2.440028758073909e+02	4.574401878595662e+00	3.526096577878228e+02
1.538638881351531e+01	3.552646551096439e+02	8.175083010981611e+00	2.589476372589607e-03	-7.254685704941214e-01	6.615025561371123e+03	5.724868681020545e+03	9.434299967777113e+03	-4.251512584382779e-01	-2.279175911528753e+02	4.577368107769368e+00	3.556167916171015e+02
1.568708673526325e+01	3.581794282395867e+02	8.236213787573616e+00	2.574598063450099e-03	-7.194917373008457e-01	6.621493188667613e+03	5.892530397649991e+03	9.599501139804557e+03	-4.682934322617529e-01	-2.119675497395898e+02	4.580272903345485e+00	3.585315647470443e+02
1.598778465701120e+01	3.610036234624906e+02	8.296855698060536e+00	2.559207361356147e-03	-7.138025519617293e-01	6.627574418129598e+03	6.065178817209778e+03	9.769779205883788e+03	-5.144182597616226e-01	-1.961724630198904e+02	4.582455163086621e+00	3.613557599699482e+02
1.628848257875915e+01	3.637371893573206e+02	8.356914551882669e+00	2.544401305885036e-03	-7.083877007714108e-01	6.633289416911564e+03	6.242498336480063e+03	9.944818010270927e+03	-5.606337405515163e-01	-1.805512433616489e+02	4.584045519094154e+00	3.640893258647782e+02
1.658918050050710e+01	3.663848798164643e+02	8.416405249261404e+00	2.528483364692499e-03	-7.032349897505890e-01	6.638656213038470e+03	6.424465917843565e+03	1.012459263684934e+04	-6.116515988116283e-01	-1.651226483166532e+02	4.585130537288322e+00	3.667370163239219e+02
1.688987842225505e+01	3.689465760427569e+02	8.475238873586283e+00	2.512372023812968e-03	-6.983327111519068e-01	6.643691542733627e+03	6.610737634162359e+03	1.030875690641390e+04	-6.648751140975887e-01	-1.499037803838644e+02	4.586045549970261e+00	3.692987125502145e+02
1.719057634400300e+01	3.714231736671721e+02	8.533351521383945e+00	2.495723413190199e-03	-6.936700810564886e-01	6.648412395715471e+03	6.801017517826372e+03	1.049701291195677e+04	-7.214600278888459e-01	-1.349116805276233e+02	4.587287285421684e+00	3.717753101746297e+02
1.749127426575095e+01	3.734605639598358e+02	8.582220897706547e+00	2.495087234398853e-03	-6.898742650342148e-01	6.652577070807427e+03	6.966597699022392e+03	1.066086859621561e+04	-7.269844753752068e-01	-1.222828380739591e+02	4.590674506707364e+00	3.738127004672934e+02
1.779197218749890e+01	3.754096823754178e+02	8.630037714066418e+00	2.495044493061074e-03	-6.862809705597913e-01	6.656462331230241e+03	7.133865949569341e+03	1.082648890139582e+04	-7.308825796023000e-01	-1.099243629942115e+02	4.594418366236943e+00	3.757618188828754e+02
1.809267010924685e+01	3.772720143831583e+02	8.676748210777498e+00	2.495576135317059e-03	-6.828818477205747e-01	6.660082186258717e+03	7.302429975892588e+03	1.099348025010953e+04	-7.327829010000215e-01	-9.785003887751716e+01	4.598270361059766e+00	3.776241508906159e+02
1.839336803099480e+01	3.790490454522975e+02	8.722300984263414e+00	2.496664275867993e-03	-6.796690361399310e-01	6.663450716052170e+03	7.471884651044960e+03	1.116143656350816e+04	-7.324645901337009e-01	-8.607307328375248e+01	4.602355211942053e+00	3.794011819597551e+02
1.869406595274275e+01	3.807422610520760e+02	8.766646857388448e+00	2.498292106894649e-03	-6.766351278094057e-01	6.666581239681769e+03	7.641812267950077e+03	1.132993925912853e+04	-7.295756820571522e-01	-7.460605405675142e+01	4.606728551136826e+00	3.810943975595336e+02
1.899476387449070e+01	3.823531466517339e+02	8.809738764853442e+00	2.500443814533195e-03	-6.737731330903770e-01	6.669485759935790e+03	7.811783492359548e+03	1.149855684106990e+04	-7.236510952447248e-01	-6.346104974624786e+01	4.611834327683299e+00	3.827052831591915e+02
1.929546179623865e+01	3.838831877205117e+02	8.851531652343812e+00	2.503104502136281e-03	-6.710764495660874e-01	6.672174690613834e+03	7.981357284930829e+03	1.166684582412541e+04	-7.149152092316305e-01	-5.264975980944909e+01	4.616734907012471e+00	3.842353242279693e+02
1.959615971798660e+01	3.853338697276495e+02	8.891982388271160e+00	2.506260119633994e-03	-6.685388334608616e-01	6.674658196722550e+03	8.150082225578738e+03	1.183435189418638e+04	-7.038604522392011e-01	-4.218328103976760e+01	4.620924018041025e+00	3.856860062351071e+02
