WARNING: 2 open meshes merged
     Merged: Main Wing
     Merged: Horz Tail
...Mass Properties...
21 Num Comps
21 Total Num Meshes
16312 Total Num Tris

3.525270143430325e+05             Total Mass
1.071134949357679e+02 1.300664493562413e-07 -3.882635284774068e+00       Center of Gravity
2.837036318186080e+08 4.596758273305705e+08 7.165024471132437e+08       Ixx, Iyy, Izz
-5.871781921405172e+03 3.698024200793964e+07 5.755585265506628e+03       Ixy, Ixz, Iyz
8.839850441076839e+04             Volume

Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
3.571497432061889e+01	1.653515600965985e+04	2.528856265142509e+01	4.014915910603904e-15	-3.045969247186411e+00	8.903889782971714e+05	1.365583214390630e+06	9.457686402113058e+05	-3.339724845886305e+02	-1.364231388519770e+05	2.897428394041614e+02	9.976601696089496e+03
3.688595708522934e+01	1.697841561238205e+04	2.559133863280673e+01	3.024022433250232e-15	-2.940340450728772e+00	9.276794594264452e+05	1.449099982018454e+06	1.015919109196967e+06	-3.439664156931818e+02	-1.161688349410739e+05	2.982583428815713e+02	1.046595873155228e+04
3.805693984983980e+01	1.743458108454613e+04	2.591749369425631e+01	3.020107525621993e-15	-2.836294628260899e+00	9.652169690029625e+05	1.543653998013941e+06	1.097222156984027e+06	-3.533943163507020e+02	-9.414944613174270e+04	3.065035038539431e+02	1.095531576701508e+04
3.922792261445026e+01	1.789074655671020e+04	2.625687350011527e+01	3.083908872221905e-15	-2.737554577867134e+00	1.002396235612024e+06	1.647577381156005e+06	1.188252807983055e+06	-3.628449354378691e+02	-7.123716940480207e+04	3.147257996191452e+02	1.144467280247787e+04
4.039890537906071e+01	1.834691202887428e+04	2.660849161651924e+01	3.080609220227244e-15	-2.643724541936672e+00	1.039244179419889e+06	1.761375603320742e+06	1.289490012130165e+06	-3.723011616601745e+02	-4.749860434317203e+04	3.229600712755323e+02	1.193402983794066e+04
4.156988814367116e+01	1.880307750103836e+04	2.697145733373590e+01	3.083932116305291e-15	-2.554447167414008e+00	1.075784806633100e+06	1.885535446625304e+06	1.401396276977323e+06	-3.817552009371810e+02	-2.299388593252212e+04	3.311971662670167e+02	1.242338687340346e+04
4.274087090828162e+01	1.925924297320244e+04	2.734496432977898e+01	3.078197023127910e-15	-2.469398957636745e+00	1.112039899040889e+06	2.020527186147862e+06	1.524419990039820e+06	-3.912065023451889e+02	2.222536365039097e+03	3.394413608478162e+02	1.291274390886625e+04
4.391185367289208e+01	1.971540844536651e+04	2.772828090779642e+01	3.111447764651167e-15	-2.388286355572329e+00	1.148029308118091e+06	2.166806526028167e+06	1.658997062632053e+06	-4.006486786186291e+02	2.810126658829765e+04	3.476859055296719e+02	1.340210094432905e+04
4.508283643750253e+01	2.017157391753059e+04	2.812074155810445e+01	3.125846334334481e-15	-2.310842358503284e+00	1.183771043781712e+06	2.324816237895383e+06	1.805552220190314e+06	-4.101061413585875e+02	5.459738166102221e+04	3.559376794008525e+02	1.389145797979184e+04
4.625381920211299e+01	2.062773938969467e+04	2.852173963981377e+01	3.148417706116386e-15	-2.236823581893144e+00	1.219281245773219e+06	2.494987608337474e+06	1.964499989354233e+06	-4.195206382539201e+02	8.166989613421963e+04	3.641888442272516e+02	1.438081501525464e+04
